accountId,aggregateBytes,aggregateCounts,aggregateDurationMs,caseId,casePriority,caseStatus,caseTopic,dataPlaneVersion,eventCategory,heartbeatAgeSeconds,installationId,licenceState,metadataOnly,plan,recordId,recordType,region,schemaVersion,severity,status,timestampUtc
acct-000,,,,,,,,,,,,,,free,acct_5feceb66ffc86f38,account,eu,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-001,,,,,,,,,,,,,,pro,acct_6b86b273ff34fce1,account,us,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-002,,,,,,,,,,,,,,business,acct_d4735e3a265e16ee,account,au,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-003,,,,,,,,,,,,,,enterprise,acct_4e07408562bedb8b,account,eu,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-004,,,,,,,,,,,,,,free,acct_4b227777d4dd1fc6,account,us,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-005,,,,,,,,,,,,,,pro,acct_ef2d127de37b942b,account,au,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-006,,,,,,,,,,,,,,business,acct_e7f6c011776e8db7,account,eu,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-007,,,,,,,,,,,,,,enterprise,acct_7902699be42c8a8e,account,us,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-008,,,,,,,,,,,,,,free,acct_2c624232cdd22177,account,au,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-009,,,,,,,,,,,,,,pro,acct_19581e27de7ced00,account,eu,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-010,,,,,,,,,,,,,,business,acct_4a44dc15364204a8,account,us,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-011,,,,,,,,,,,,,,enterprise,acct_4fc82b26aecb47d2,account,au,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
acct-012,,,,,,,,,,,,,,free,acct_6b51d431df5d7f14,account,eu,control-plane-proof.v1,,active,2026-06-17T00:00:00Z
